 North America;Puerto Cortes;	15.85; 	-87.93333333; 
 North America;San Lorenzo;	13.4; 	-87.41666667; 
 North America;Tela;	15.7833333333333; 	-87.45; 
 India and South East Asia;Hong Kong;	22.3; 	114.1666667;
 Europe;Akureyri;	65.6833333333333; 	-18.05; 
 Europe;Hafnarfjordur;	64.0666666666666; 	-21.96666667; 
 Europe;Isafjordur;	66.0833333333333; 	-23.1; 
 Europe;Keflavik;	64; 	-22.55; 
 Europe;Reykjavik;	64.1333333333333; 	-21.93333333; 
 Europe;Vestmannaeyjar;	63.4333333333333; 	-20.26666667; 
 India and South East Asia;Bombay Mumbai;	18.9833333333333; 	72.81666667; 
 India and South East Asia;Calcutta Kolkata;	22.5333333333333; 	88.36666667; 
 India and South East Asia;Chennai Madras;	13.1; 	80.26666667; 
 India and South East Asia;Cochin;	9.96666666666666; 	76.25; 
 India and South East Asia;Kandla;	23; 	70.2; 
 India and South East Asia;Nhava Sheva;	18.95; 	72.96666667; 
 India and South East Asia;Tuticorin;	8.75; 	78.16666667; 
 India and South East Asia;Vishakhapatnam;	17.6833333333333; 	83.3; 
 ''is not a country in the system;Cilacap;	-8.73333333333333; 	109;
 India and South East Asia;Cirebon;	-6.68333333333333; 	108.55; 
 India and South East Asia;Jakarta;	-6.1; 	106.8666667; 
 India and South East Asia;Kupang, Timor;	-10.1666666666666; 	123.5666667; 
 India and South East Asia;Palembang, Sumatra;	-2.98333333333333; 	104.75; 
 India and South East Asia;Semarang;	-6.88333333333333; 	110.4; 
 India and South East Asia;Surabaya;	-7.21666666666666; 	112.7333333; 
 India and South East Asia;Ujung Pandang,;	-5.13333333333333; 	119.4; 
 Arabia and Persian Gulf;Abadan;	30.3333333333333; 	48.33333333; 
 Arabia and Persian Gulf;Bandar Abbas;	27.1833333333333; 	56.28333333; 
 Arabia and Persian Gulf;Bandar Anzali;	37.4666666666666; 	49.46666667; 
 Arabia and Persian Gulf;Bandar Mahshahr;	30.45; 	49.33333333; 
 Arabia and Persian Gulf;Bushehr;	28.9833333333333; 	50.83333333; 
 Arabia and Persian Gulf;Imam Khomeini;	30.4166666666666; 	40.06666667; 
 Arabia and Persian Gulf;Khorramshahr;	30.4333333333333; 	48.18333333; 
 Arabia and Persian Gulf;Lavan;	26.7833333333333; 	53.33333333; 
 Arabia and Persian Gulf;Sirri Island;	25.9; 	54.55; 
 Arabia and Persian Gulf;Basra;	30.55; 	47.78333333; 
 Arabia and Persian Gulf;Khor al Zubair;	30.1833333333333; 	47.9; 
 Arabia and Persian Gulf;Umm Qasr;	24.9; 	51.58333333; 
 Europe;Arklow;	52.8; 	-6.15; 
 Europe;Cork;	51.8333333333333; 	-8.283333333; 
 Europe;Drogheda;	53.7166666666666; 	-6.3; 
 Europe;Dublin;	53.35; 	-6.266666667; 
 Europe;Foynes;	52.6; 	-9.1; 
 Europe;Galway;	53.2666666666666; 	-9.05; 
 Europe;New Ross;	52.3833333333333; 	-6.933333333; 
 Europe;Waterford;	52.25; 	-7.116666667; 
 Europe;Ashdod;	31.8333333333333; 	34.63333333; 
 Europe;Ashkelon;	31.6333333333333; 	34.53333333; 
 Europe;Eilat;	29.5333333333333; 	34.95; 
 Europe;Hadera;	32.4666666666666; 	34.88333333; 
 Europe;Haifa;	32.8166666666666; 	35; 
 Europe;Augusta;	37.2166666666666; 	15.23333333; 
 Europe;Bagnoli;	40.8; 	14.16666667; 
 Europe;Bari;	41.1333333333333; 	16.86666667; 
 Europe;Brindisi;	40.65; 	17.93333333; 
 Europe;Gela;	37.0666666666666; 	14.25; 
 Europe;Genoa;	44.4; 	8.9; 
 Europe;La Spezia;	44.0166666666666; 	9.85; 
 Europe;Livorno;	43.55; 	10.33333333; 
 Europe;Messina;	38.1833333333333; 	15.56666667; 
 Europe;Milazzo;	38.2166666666666; 	15.26666667; 
 Europe;Napoli (Naples);	40.8333333333333; 	14.25; 
 Europe;Palermo;	38.1166666666666; 	13.33333333; 
 Europe;Porto Torres;	40.85; 	8.4; 
 Europe;Ravenna;	44.4166666666666; 	12.3; 
 Europe;Sarroch (Porto Foxi);	39.0833333333333; 	9.033333333; 
 Europe;Savona-Vado;	44.3; 	8.483333333; 
 Europe;Taranto;	40.4833333333333; 	17.21666667; 
 Europe;Trieste;	45.65; 	13.75; 
 Europe;Venice;	45.4333333333333; 	12.33333333; 
 North America;Kingston;	17.9833333333333; 	-76.83333333; 
 North America;Montego Bay;	18.5; 	-77.93333333; 
 ''is not a country in the system;Ocho Rios;	18.4166666666666; 	;
 North America;Port Antonio;	18.2; 	-76.45; 
 North America;Port Esquivel;	17.8833333333333; 	-77.13333333; 
 'Apartment 2, Lionel Town Hospital Compound'  is not a country in the system;Rocky Point;	17.6333333333333; 	-77.23333333; 
 Far East;Akita;	39.75; 	140.05; 
 Far East;Amagasaki;	34.7; 	135.4; 
 Far East;Chiba;	35.6; 	140.1166667; 
 Far East;Hachinohe;	40.55; 	141.55; 
 Far East;Hakodate, Hokkaido;	41.7833333333333; 	140.7; 
 Far East;Higashiharima;	34.7166666666666; 	134.75; 
 Far East;Himeji;	34.7833333333333; 	134.6833333; 
 Far East;Hiroshima;	34.3333333333333; 	132.4166667; 
 Far East;Kawasaki;	35.5333333333333; 	139.7666667; 
 Far East;Kinuura;	34.8666666666666; 	136.95; 
 Far East;Kobe;	34.6666666666666; 	135.2; 
